Symbol,Price,DateTime
BTC,119961,2025-08-12 19:13:37
ETH,4588.53,2025-08-12 19:13:37
XRP,3.27,2025-08-12 19:13:37
USDT,0.99973,2025-08-12 19:13:37
BNB,834.73,2025-08-12 19:13:37
SOL,191.69,2025-08-12 19:13:37
USDC,0.999768,2025-08-12 19:13:37
STETH,4578.11,2025-08-12 19:13:37
DOGE,0.236603,2025-08-12 19:13:37
TRX,0.352087,2025-08-12 19:13:37
ADA,0.841375,2025-08-12 19:13:37
WSTETH,5536.74,2025-08-12 19:13:37
LINK,23.31,2025-08-12 19:13:37
WBTC,120056,2025-08-12 19:13:37
HYPE,45.11,2025-08-12 19:13:37
WBETH,4917.9,2025-08-12 19:13:37
XLM,0.448732,2025-08-12 19:13:37
SUI,3.88,2025-08-12 19:13:37
WEETH,4921.26,2025-08-12 19:13:37
BCH,619.73,2025-08-12 19:13:37
WETH,4589.18,2025-08-12 19:13:37
HBAR,0.261208,2025-08-12 19:13:37
USDE,1.0,2025-08-12 19:13:37
AVAX,24.66,2025-08-12 19:13:37
LTC,130.89,2025-08-12 19:13:37
TON,3.5,2025-08-12 19:13:37
LEO,9.11,2025-08-12 19:13:37
SHIB,1.357e-05,2025-08-12 19:13:37
USDS,0.999762,2025-08-12 19:13:37
UNI,11.55,2025-08-12 19:13:37
BSC-USD,0.999713,2025-08-12 19:13:37
WBT,45.87,2025-08-12 19:13:37
CBBTC,119945,2025-08-12 19:13:37
DOT,4.14,2025-08-12 19:13:37
SUSDE,1.19,2025-08-12 19:13:37
CRO,0.164282,2025-08-12 19:13:37
ENA,0.79961,2025-08-12 19:13:37
PEPE,1.216e-05,2025-08-12 19:13:37
BGB,4.46,2025-08-12 19:13:37
AAVE,319.9,2025-08-12 19:13:37
XMR,254.32,2025-08-12 19:13:37
DAI,0.999575,2025-08-12 19:13:37
TAO,390.84,2025-08-12 19:13:37
ETC,23.6,2025-08-12 19:13:37
NEAR,2.8,2025-08-12 19:13:37
MNT,1.031,2025-08-12 19:13:37
ONDO,1.055,2025-08-12 19:13:37
APT,4.82,2025-08-12 19:13:37
PI,0.392086,2025-08-12 19:13:37
ICP,5.69,2025-08-12 19:13:37
JITOSOL,234.53,2025-08-12 19:13:37
OKB,46.46,2025-08-12 19:13:37
WETH,4593.12,2025-08-12 19:13:37
KAS,0.097079,2025-08-12 19:13:37
ARB,0.475068,2025-08-12 19:13:37
BUIDL,1.0,2025-08-12 19:13:37
ALGO,0.271411,2025-08-12 19:13:37
PENGU,0.03711626,2025-08-12 19:13:37
POL,0.247321,2025-08-12 19:13:37
VET,0.0256855,2025-08-12 19:13:37
USD1,0.999848,2025-08-12 19:13:37
ATOM,4.71,2025-08-12 19:13:37
RETH,5208.9,2025-08-12 19:13:37
RENDER,4.05,2025-08-12 19:13:37
RSETH,4808.36,2025-08-12 19:13:37
GT,16.74,2025-08-12 19:13:37
BONK,2.567e-05,2025-08-12 19:13:37
WLD,1.061,2025-08-12 19:13:37
FTN,4.59,2025-08-12 19:13:37
BNSOL,204.36,2025-08-12 19:13:37
SUSDS,1.063,2025-08-12 19:13:37
FET,0.721988,2025-08-12 19:13:37
SEI,0.324647,2025-08-12 19:13:37
TRUMP,9.22,2025-08-12 19:13:37
JLP,5.29,2025-08-12 19:13:37
FIL,2.63,2025-08-12 19:13:37
SKY,0.083085,2025-08-12 19:13:37
OSETH,4826.35,2025-08-12 19:13:37
IP,5.82,2025-08-12 19:13:37
LSETH,4963.94,2025-08-12 19:13:37
QNT,114.39,2025-08-12 19:13:37
SPX,1.78,2025-08-12 19:13:37
FLR,0.02290217,2025-08-12 19:13:37
LBTC,119996,2025-08-12 19:13:37
JUP,0.535111,2025-08-12 19:13:37
METH,4878.16,2025-08-12 19:13:37
KCS,11.98,2025-08-12 19:13:37
XDC,0.090105,2025-08-12 19:13:37
USDTB,0.999708,2025-08-12 19:13:37
PUMP,0.00410194,2025-08-12 19:13:37
INJ,14.77,2025-08-12 19:13:37
HASH,0.0296623,2025-08-12 19:13:37
EZETH,4835.49,2025-08-12 19:13:37
TIA,1.86,2025-08-12 19:13:37
OP,0.786564,2025-08-12 19:13:37
LDO,1.54,2025-08-12 19:13:37
USDT0,0.999208,2025-08-12 19:13:37
CRV,0.979842,2025-08-12 19:13:37
NEXO,1.36,2025-08-12 19:13:37
STX,0.753841,2025-08-12 19:13:37
